Unnamed: 0,Titulo_moderno,titulo_pal,titulo_lem,Manuscrito,Folios,Fragm?,Joint,Order in manuscript,Nombra autor,Comment
,Die Bärenjagd,Von dem beren,von der beren,Dr68,,,,,,
,Minnelehre,Cupido deus amoris,Cupido deus amor,Dr68,,,,,,
,Der Rosendorn (I),Von dem weissen rosen dorn,von der wîz rôse dorn,Dr68,,,,,,
,Dresdner Liebesbriefe (I) (B119),Vna litera amoris,unus littera amor,Dr68,,,,,,
,Salve Regina,Salve regina künigin maria,salvare regina küniginne maria,Dr68,,,,,,
,Dresdner Liebesbriefe (II) (B120),Vna litera amoris,unus littera amor,Dr68,,,,,,
,Gebet zu Johannes dem Täufer,Von sant iohanes dem täuffer,von sant iohanes der täufer,Dr68,,,,,,
,Öl und Zugabe im Doppelglas,Von dem sponssieren der mü / mich und der nummen,von der sponssieren der müeje / ich und der nummen,Dr68,,,,,,
,Der Hund am Wasser,Von dem hund mit dem pain,von der hunt mit der bein,Dr68,,,,,,
,Der ernsthafte König,Von küng ernsten,von künic ernest,Dr68,,,,,,
,Frauenerziehung,Von dem zorn bratten,von der zorn brâten,Dr68,,,,,,
,Der Wolf in der Schule,Von dem wolf vnd seiner wyb,von der wolf und seiner wîp,Dr68,,,,,,
,Des Königs alte Kleider,Von vnsers herren alten claiden,von wir herre alt kleit,Dr68,,,,,,
,Kloster der Minne,De monte feneris agitur hic,de mons feneris agitur hic,Dr68,,,,,,
,Die Buße des Sünders,,,Dr68,,,,,,
,Der milde König,,,Dr68,,,,,,
,Ochse und Hirsch,,,Dr68,,,,,,
,Fink und Nachtigall,,,Dr68,,,,,,
,Die Linde im Verbogenen,,,Dr68,,,,,,
,Vier Lügen,,,Dr68,,,,,,
,Lob der guten Fut,,,Dr68,,,,,,
,Studentenabenteuer A,,,ber1430,,,,,,
,Unser Frauen Ritter,,,ber1430,,,,,,
,Die zwei Beichten,?,?,ber1430,,,,,,
,Die goldene Schmiede,,,Bodm72,,,,,,
,Leich,Hie svlle wir lesen ein lop vnde / einen leich svezen von vnser vrowen,hie soln wir lesen ein lop und / einen leich süeze von wir vrouwe,Bodm72,,,,,,
,Leich,,,Bodm72,,,,,,
,Mariengrüße,hie hebent sich vnser vrowen san / anderthalp hvndert grvzze an,hie heben sich wir vrouwe san / anderhalp hundert grvzze an,Bodm72,,,,,,
,Mariengebet,,,Bodm72,,,,,,
,Unser Frauen Klage,Ditz heist vnser vrowen klage / Die sol man lesen alle tage,diser heizzen wir vrouwe klage / die sol man lesen al tac,Bodm72,,,,,,
,Von dem jungesten tage,Ditz ist von dem jungeste tage / Da man horet iamers klage,diser sîn von der jungeste tac / dâr man hoeren jâmer klage,Bodm72,,,,,,
,Cato,Ditz buoch daz heizet katho / daz liset man in der schvle also,diser buoch daz heizzen Cato / daz lesen man in der schola alsô,Bodm72,,,,,,
,Der Magezoge,Hie leret vns spigel aller tvgent / tzvcht alter levte vnd der jvgent,hie lêren wir spiegel al tugent / tzvcht alter liut und der jvgent,Bodm72,,,,,,
,Der Seele Kranz,Hie hebet sich an der tvgent krantz / daz macht vns an der sele glantz,hie heben sich an der tugent kranz / daz macht wir an der sêle glanz,Bodm72,,,,,,
,Warum Gott sein Haupt neigte,Ditz buoch vns hie betzeiget / daz vnser herre git funf stvnt sin hovbet hat geneiget,diser buoch wir hie bezeigen / daz wir herre geben vünf stunde sin houbet haben nîgen,Bodm72,,,,,,
,Mönch Felix,Ditz ist mvnch felix genant / Der tvt vns ditz mere bekant,diser sîn münech felix nennen / der tuon wir diser mere bekant,Bodm72,,,,,True,
,Passional,Hie hebent sich an groz wunder von vnser vrowen besvnder,hie heben sich an grôz wunder von wir vrouwe besunder,Bodm72,,TRUE,,,,
,Passional,Hie hebt sich an ein mere gvt / von einer vrowen wol gemut,hie heben sich an ein mere guot / von ein vrouwe wol gemuot,Bodm72,,TRUE,,,,
,Passional,Ditz mere ist ovch geschehen / wie ein blinter wart gesehen,diser mere sîn ouch geschehen / wie ein blint werden sehen,Bodm72,,TRUE,,,,
,Passional,Ditz ist ein schones mere / von einem ritter lobere,diser sîn ein schoene mere / von ein ritter lobere,Bodm72,,TRUE,,,,
,Passional,Ditz ist ein mere vil hart / wie einer vrowen ir svn gevangen wart,diser sîn ein mere vil herte / wie ein vrouwe sie sun vâhen werden,Bodm72,,TRUE,,,,
,Passional,Ditz ist ein mer gentzlich / von einem diebe vreislich,diser sîn ein mer ganz / von ein diep vreislich,Bodm72,,TRUE,,,,
,Passional,Ditz ist ein schones mere / von einem schvlere,diser sîn ein schoene mere / von ein schvlere,Bodm72,,TRUE,,,,
,Passional,Ditz ist ein vil gvt mere / von einem pharrere,diser sîn ein vil guot mere / von ein pharrere,Bodm72,,TRUE,,,,
,Passional,Hie ist ovch ein schone mere / von einem andern schvlere,hie sîn ouch ein schoene mere / von ein ander schvlere,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem mvnche kranc / wie der in einem wazzer ertranc,diser sîn von ein münech kranc / wie der in ein wazzer ertrinken,Bodm72,,TRUE,,,,
,Passional,Hie kvnde ich vch ein mere / von einem svntigen schvlere,hie kunnen ich sie ein mere / von ein svntigen schvlere,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem apte gvt / den vnser vrowe vf dem mer behvt,diser sîn von ein abbet guot / der wir vrouwe ûf der mer behüeten,Bodm72,,TRUE,,,,
,Passional,Hie ist ein hvbschez wunder / von vnser vrowen besvnder,hie sîn ein hvbschez wunder / von wir vrouwe besunder,Bodm72,,TRUE,,,,
,Passional,Hie hebet sich ein mere an / von einem ritter vrissam,hie heben sich ein mere an / von ein ritter vrissam,Bodm72,,TRUE,,,,
,Passional,Hier nach hebet sich danne / ein mer von einem edelen manne,hier nâch heben sich danne / ein mer von ein edelen man,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem molere / ein vil schones mere,diser sîn von ein molere / ein vil schoene mere,Bodm72,,TRUE,,,,
,Passional,Ditz mere sag ich dvrch wunder / wie die tevfel einen brobst fvrten besunder,diser mere sagen ich durch wunder / wie die tiuvel einen brobest vüeren besunder,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem Ritter gvt / Der lip vnd sele wol behvt,diser sîn von ein ritter guot / der lip und sêle wol behüeten,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem offen svnder / ein vil genemes mer,diser sîn von ein ofen sunder / ein vil genemes mêr,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem hubschen Ritter / Des kvmber wart vil bitter,diser sîn von ein hövesch ritter / der kumber wart vil bitter,Bodm72,,TRUE,,,,
,Passional,Ditz ist von einem schvlere / ein vil gvt gehortes mere,diser sîn von ein schvlere / ein vil guot hoeren mere,Bodm72,,TRUE,,,,
,Passional,Ditz ist eon mere vnde hebet sich / an mit lobe also / von dem heiligen Theofilo,diser sîn eon mere und heben sich / an mit lobe alsô / von der heilec theofilo,Bodm72,,TRUE,,,,
,Passional,Ditz ist wie ein edel man zu ritter wart der sich dem tevfel ergab,diser sîn wie ein edel man zuo ritter werden der sich der tiuvel ergeben,Bodm72,,TRUE,,,,
,Unser Frauen Ritter,Ditz ist ein schones mere / von einem ritter lobere,diser sîn ein schoene mere / von ein ritter lobere,Bodm72,,,,,,
,Thomas von Kandelberg,Ditz ist von den zwelf schvleren / Ein buoch gvt zv leren,diser sîn von der zwelf schvleren / ein buoch guot zuo lêren,Bodm72,,,,,,
,Marien Rosenkranz,Hie ist ein schones mere / von einem andern schvelere,hie sîn ein schoene mere / von ein ander schvelere,Bodm72,,,,,,
,Frauentrost,Ditz ist des grawen mantels mere / Got helf vns von aller swere,diser sîn der grâ mantel mere / got helfen wir von al swere,Bodm72,,,,,,
,Der Heller der armen Frau,Ditz ist ein mere wie ein arme spinnerin mit einem helbelinge ein mvnster eines kvniges vil bracht,diser sîn ein mere wie ein arme spinnerinne mit ein helbelinge ein münster eines künic vil bringen,Bodm72,,,,,,
,Der Wiener Meerfahrt,Ditz buoch ist von seltsener art / vnd heizet der wienner mervart,diser buoch sîn von seltsener art / und heizzen der Wiene mervart,Bodm72,,,,,,
,Das Frauenturnier,Hie hebet sich an der vrowen tvrney / vnd ist ovch veste als ein ey,hie heben sich an der vrouwe tvrnei / und sîn ouch vaste als ein ei,Bodm72,,,,,,
,Der Hauskummer,Ditz ist der kvmber genant / vnd bringen manchen in groze bant,diser sîn der kumber nennen / und bringen manec in grôz bant,Bodm72,,,,,,
,Frauenlist,Ditz buoch heizet vrowen list / Der vil mancher wise ist,diser buoch heizzen vrouwe list / der vil manec wise sîn,Bodm72,,,,,,
,Des Hundes Not,Ditz buoch heizet des hvndes not / Der nach was von hvnger tot,diser buoch heizzen der hunt not / der nâch was von hunger tôt,Bodm72,,,,,,
,Der Reiher,Ditz mere ist wie ein man mit einem hanen einen Beyger vienge,diser mere sîn wie ein man mit ein han einen beiger vâhen,Bodm72,,,,,,
,Die halbe Decke II,Ditz ist des kotzen mere / Got bveze vns vnser swere,diser sîn der kotze mere / got büezen wir wir swere,Bodm72,,,,,,
,Der Schlegel,Ditz ist der Slegel genant / Nieman gebe sin gvt vz der hant,diser sîn der slegel nennen / nieman geben sin guot ûz der hant,Bodm72,,,,,,
,Die Heiden,Ditz ist von einer heideninne / Die plac gvter sinne,diser sîn von ein heideninne / die phlegen guot sinne,Bodm72,,,,,,
,Der Jüngling,Ditz buoch heizet der jvngelinch / Got der bezzer vnser dinch,diser buoch heizzen der jvngelinch / got der bezzer wir dinc,Bodm72,,,,,,
,Crescentia,Ditz buoch heizet krescentia / die was ein edel vrowe sa,diser buoch heizzen krescentia / die was ein edel vrouwe sâ,Bodm72,,,,,,
,Frauentreue,Ditz buoch heizet vrowen triwe / Got helf vns gantzer riwe,diser buoch heizzen vrouwe triuwe / got helfen wir ganz riuwe,Bodm72,,,,,,
367-39,Der Teufel und die Seele,Ditz ist von des teufels swer / ein vil seltsenez mer,diser sîn von der tiuvel swer / ein vil seltsenez mêr,Bodm72,,,,,,
,Des Mönches Not,Ditz ist ein schones mere genvc / wie ein mvnch ein kint trvc,diser sîn ein schoene mere genuoc / wie ein münech ein kint tragen,Bodm72,,,,,,
,Adam und Eva,Ditz buoch ist adams klage genant / Die er leit manchen tat zehant,diser buoch sîn Adam klage nennen / die er leit manec tuon zehant,Bodm72,,,,,,
,Der Pfaffe Amis,Ditz bvch daz heizet pfaf ameys / der hat begangen manchen pris,diser buoch daz heizzen phaffe amîs / der haben begân manec prîs,Bodm72,,,,,,
,Rheinhart Fuchs,Ditz ist fvchs Reinhart genant / got helf vns in sin lant,diser sîn vuhs Reinhart nennen / got helfen wir in sin lant,Bodm72,,,,,,
,Der Feldbauer,Ditz schone mere / Ist von einem veltbvre,diser schoene mere / sîn von ein veltbvre,Bodm72,,,,,,
,Des Teufels Ächtung,Ditz heizet des tevfels acht / des phlag ein mait mit einem kneht,diser heizzen der tevfels aht / der phlegen ein maget mit ein kneht,Bodm72,,,,,,
367-12,Die Messe,Ditz ist von dem strickere / Ein schone rede offenbere,diser sîn von der Strickære / ein schoene rede ofenbere,Bodm72,,TRUE,,,True,
,Der arme Lazarus,Ditz ist von lazaro / vnd von dem richen manne also,diser sîn von Lazarus / und von der rîche man alsô,Bodm72,,,,,,
367-114,Die feisten Jagdvögel,,,Bodm72,,,TRUE,,,
367-12,Die Messe,Ditz buoch sait von der messe / der svl wir ovch gerne vermessen,diser buoch sagen von der missa / der soln wir ouch gerne vermezzen,Bodm72,,TRUE,,,,
367-143,Der Opfertod Christi des Königs,Ditz ist von vnsers herren marter / des svzzen vnd siner mvter zarter,diser sîn von wir herre marter / der svzzen und er muoter zart,Bodm72,,,,,,
367-73,Christus eine gebärende Frau,,,Bodm72,,,TRUE,,,
367-144,Das weisse Tuch,,,Bodm72,,,TRUE,,,
367-108,Der Pfaffen Leben,Ditz ist von den pfaffen / die nach eren mvgen kaffen,diser sîn von der pfafen / die nach eren mügen kaf,Bodm72,,,,,,
367-101,Der Hund und der Stein,Ditz ist von den die der predige / spottent vnde lachent,diser sîn von der die der bredigen / spotten und lachen,Bodm72,,,,,,
367-102,Mahnung zu rechtzeitiger Busse,,,Bodm72,,,TRUE,,,
367-113,Der Taugenichts,Ditz ist eines loters mere / da von sait der strickere,diser sîn eines loters mere / dâr von sagen der Strickære,Bodm72,,,,,True,
367-123,Die Weisheit Salomons,Hie sait der strickere von dem / konige Salomone,hie sagen der Strickære von der / künic Salomon,Bodm72,,,,,True,
,Von drei Freunden,Hie saget vns der stricker von / drin vruenden die da raten / kvmen vnd gehelfen,hie sagen wir der Strickære von / darinne vriunt die dâr râten / komen und helfen,Bodm72,,,,,True,
,Barlaam und Josaphat,,,Bodm72,,TRUE,,,,
,Der milde König,Ditz ist von einem hazzigen / vnd von einem indigen,diser sîn von ein hazzigen / und von ein indigen,Bodm72,,,,,,
367-80,Das Bild,Hie wil ich vch bedevten / von falschen geistlichen levten,hie wil ich sie bedevten / von valsch geistlich liut,Bodm72,,,,,,
367-100,Die Äffin und ihre Kinder,Ditz ist von dem ieger / Got si vnser pfleger,diser sîn von der jegere / got si wir phlegen,Bodm72,,,,,,
367-75,Der blinde Dieb,Ditz ist von einem blinden diebe / Got vns im mache vil liebe,diser sîn von ein blint diep / got wir er machen vil liebe,Bodm72,,,,,,
367-149,Der wahre Freund,Ditz ist wie ein man von sines herren hvlden qvam,diser sîn wie ein man von sines herre hulde qvam,Bodm72,,,,,,
367-121,Drei Gott verhassten Dinge,Hie sint drev dinch / die got vnmere sint,hie sint drî dinc / die got unmære sint,Bodm72,,,,,,
367-115,Die sieben himmlischen Gabe,Ditz ist von dem metzen / got mvez vns ze himel setzen,diser sîn von der metzen / got müezen wir zuo himel setzen,Bodm72,,,,,,
,Die undankbaren Gäste,,,Bodm72,,,TRUE,,,
367-94,Der Sünder und der Einsiedel,Ditz ist von einem richen man / den sin svnde rewen began,diser sîn von ein rîche man / der sin sünde rewen beginnen,Bodm72,,,,,,
367-134,Die Tochter und der Hund,Hie wolde ein kvnic ze hove varn / vnd hiez sich sinen amtman wol bewarn,hie wellen ein künic zuo hof varn / und heizzen sich sinen amtman wol bewarn,Bodm72,,,,,,
367-98,Der ernsthafte König,Ditz ist von einem kvnige / der wolde nie niht gelachen,diser sîn von ein künic / der wellen nie niht lachen,Bodm72,,,,,,
,Spiegel der Gottheit,Ditz ist von vnsers herren lichnam / ein rede so lobesam,diser sîn von wir herre lîcham / ein rede sô lobesam,Bodm72,,,,,,
,Eiche und Rohr,Ditz buoch daz lis von einer / eyche . got vns von svnden weiche,diser buoch daz lesen von ein / eiche . got wir von sünde weich,Bodm72,,,,,,
367-129,Der eigensinnige Spötter,Ditz ist von einem spottere / des strickeres mere,diser sîn von ein spotere / der strickeres mere,Bodm72,,,,,True,
,Habicht und Huhn,Ditz ist wie ein habich wart / vf einen hamel gebvnden,diser sîn wie ein habech wart / ûf einen hamel binden,Bodm72,,,,,,
,Der Wolf und der Kranich,Ditz ist ein mere wie ein wolf / einen visch erbeiz,diser sîn ein mere wie ein wolf / einen visch erbeiz,Bodm72,,,,,,
,Löwe und Maus,Ditz ist von einem wildenere / ein vil genemes mere,diser sîn von ein wildenære / ein vil genemes mere,Bodm72,,,,,,
367-136,Der Gast und die Wirtin,Ditz mere daz ist von den valshen litgeben vns nv gegeben,diser mere daz sîn von der valsch lîtgebe wir nû geben,Bodm72,,,,,,
367-103,Der Marktdieb,Ditz mere daz ist von gelten / vnd von wider geben,diser mere daz sîn von gelten / und von wider geben,Bodm72,,,,,,
,Hund am Wasser,Ditz ist ein ander mere / von einem hvnde gewere,diser sîn ein ander mere / von ein hunt gewern,Bodm72,,,,,,
,Barlaam und Josaphat,Hie hebet sich ein mere an / von einem werltlichem man,hie heben sich ein mere an / von ein werltlich man,Bodm72,,TRUE,,,,
367-137,Die beiden Königinnen,Ditz ist von vier scharen vnd von twein kvnicrichen ein mere,diser sîn von vier scharen und von twein kvnicrichen ein mere,Bodm72,,,,,,
367-76,Des Königs alte Kleider,Ditz ist von gotes alten kleidern / nieman des sol geweigern,diser sîn von got alt kleit / nieman der sol weigern,Bodm72,,,,,,
,Der Baum mit dem dürren Ast,Ditz ist von den alten mannen / die jvnge hvsvrowen haben,diser sîn von der alt man / die jvnge hûsvrouwe haben,Bodm72,,,,,,
,Vogel Rose und Distel,Ditz ist von bosen hvs / vrowen die sich eren berovben,diser sîn von boese hûs / vrouwe die sich eren berovben,Bodm72,,,,,,
,Bremse im Blütenhaus,Ditz ist von einem tvmmen man / der boser blicke walten kan,diser sîn von ein tump man / der boese blicke walten kan,Bodm72,,,,,,
367-119,Von bösen Frauen,Hvt ecvh vor vbelen wiben / Ob ir welt bi vride beliben,hût ecvh vor übel wîp / ob sie welt bî vride belîben,Bodm72,,,,,,
367-102,Mahnung zu rechtzeitiger Busse,Ditz ist von der hochvart / die mit dem tevfel ist beswart,diser sîn von der hôchvart / die mit der tiuvel sîn beswæren,Bodm72,,,,,,
367-167,Die Heuschrecken,,,Bodm72,,,TRUE,,,
367-81,Von der Hoffart,,,Bodm72,,,TRUE,,,
367-78,Vom Tode,Ditz mere daz ist von einem / hvnde vnd ist ein seltsen wunder,diser mere daz sîn von ein / hunt und sîn ein seltsen wunder,Bodm72,,,,,,
367-151,Die irdenen Gefässe,Ditz ist wie ein kvnic machte / erdine vaz daz er wol konde,diser sîn wie ein künic machen / erdine vaz daz er wol kunnen,Bodm72,,,,,,
367-1,Der Salamander,Ditz merel daz ist von einem / tier daz heizet Salamander,diser merel daz sîn von ein / tier daz heizzen salamander,Bodm72,,,,,,
367-133,Die ewige Verdammnis,Hie ist ditz mere wie ein mensche / sich mvge verwurken,hie sîn diser mere wie ein mensche / sich mügen verwirken,Bodm72,,,,,,
367-112,Die verlorenen Christen,,,Bodm72,,,TRUE,,,
367-147,Die Buße des Sünders,Ditz ist von einem svndere / ein vil schonez mere,diser sîn von ein svndere / ein vil schoene mere,Bodm72,,,,,,
367-141,Die sechs Teufelsscharen,Ditz ist von wiben vnd von mannen / die vnschevscheit vil han begangen,diser sîn von wîp und von man / die vnschevscheit vil han begân,Bodm72,,,,,,
367-122,Ein Beispiel Salomons,Hie saget Salomon ein mere / von vnserm schopfere,hie sagen Salomon ein mere / von wir schopfere,Bodm72,,,,,,
367-106,Das entweihte Gotteshaus,,,Bodm72,,,TRUE,,,
367-107,Die törichten Pfaffen,Ditz ist von den pfaffen / die sint gelich den affen,diser sîn von der pfafen / die sint gelich der afen,Bodm72,,,,,,
367-107,Die törichten Pfaffen,Ditz ist von den bischofen / die daz vnrecht solden strofen,diser sîn von der bischof / die daz unreht soln strofen,Bodm72,,,,,,unteteilung
367-107,Die törichten Pfaffen,Hie encret er die wisen pfaffen / besundern toren vnde affen,hie encret er die wisen pfafen / besundern toren und afen,Bodm72,,,,,,unterteilugn
,Wolf und treuloser Hirte,Hie iaget ein man einen wolf / daz ist ein mere vil stoltz,hie jagen ein man einen wolf / daz sîn ein mere vil stolz,Bodm72,,,TRUE,,,
,Der Tropfen auf dem Stein,,,Bodm72,,,TRUE,,,
,Glück im Traum,,,Bodm72,,,TRUE,,,
367-138,Der Wucherer,Ditz ist von einem wucherere / ein vil schonez mere,diser sîn von ein wuocherære / ein vil schoene mere,Bodm72,,,,,,
,Weiberzauber,Ditz mere ist wie die wip ir man / mit zovber gewinnen dan,diser mere sîn wie die wîp sie man / mit zovber gewinnen danne,Bodm72,,,,,,
,,,,Bodm72,,,TRUE,,,
367-86,Ehemanns Rat,Hie genevzzet ein ietslich man / siner frvmikeit nvr wider sin wip,hie genevzzet ein ieteslich man / er frvmikeit nur wider sin wîp,Bodm72,,,,,,
367-87,Hofhund und Jagdhunde,Ditz ist von einem gebvren / vnd ist ein mere seltzsene / der wart wart selten sat,diser sîn von ein gebûr / und sîn ein mere seltzsene / der werden wart selten sat,Bodm72,,,,,,
367-90,Der Knecht in Herrenkleidern,Ditz ist wie ein richer man / sinen kneht kleiden began,diser sîn wie ein rîche man / sinen kneht kleiden beginnen,Bodm72,,,,,,
367-150,Die zwei Märkte,Ditz ist ein mere wie zwene market waren geleit in ein stat,diser sîn ein mere wie zwei market waren geleit in ein stat,Bodm72,,,,,,
367-105,Die Milch und die Fliegen,Ditz ist von den vliegen / die jvnge vnde alt betrie gen,diser sîn von der vliegen / die jvnge und alt betrie gen,Bodm72,,,,,,
367-120,Der ungeratene Sohn,Ditz ist von eines herren svn,diser sîn von eines herre sun,Bodm72,,,,,,
367-124,Die Schlange ohne Gift,,,Bodm72,,,TRUE,,,
367-165,Der geprüfte Diener,Ditz ist wie ein herre sinen / man versvcht daz ist vil gvt,diser sîn wie ein herre er / man versuochen daz sîn vil guot,Bodm72,,,,,,
367-158,Die Klage,Hie claget der richtere / mancher hande swere,hie klagen der rihtære / manec hant swere,Bodm72,,,,,,
,Der König im Bad,Ditz ist von einem kvnige der hiez Deposvit potentes desede,diser sîn von ein künic der heizzen deposvit potentes desede,Bodm72,,,,,,
367-166,Die fünf teuflischen Geister,Hie sant der tevfel in die werlt / fvnf geiste die sie verkerten,hie sant der tiuvel in die werlt / vünf geist die sie verkêren,Bodm72,,,,,,
,Der Gürtel,Ditz ist von dem porten ein mere / got bvzze vns vnser swere,diser sîn von der porten ein mere / got bvzze wir wir swere,Bodm72,,,,,,
,Die Maze,Ditz ist von der maze / got helfe vns zv der himel straze,diser sîn von der mâze / got helfen wir zuo der himel strâze,Bodm72,,,,,,
,Der Welt Lohn,Ditz ist von der werlde lon / vnd stet niht vmb ein bon,diser sîn von der werlt lon / und stet niht umbe ein bon,Bodm72,,,,,,
,Heinrich von Kempten,Ditz ist von keiser otten ein mer / Nv helf vns got von aller swer,diser sîn von keiser oten ein mer / nû helfen wir got von al swer,Bodm72,,,,,,
,Streit der vier Töchter Gottes,Ditz ist ein mere von vnsers herren / barmherzikeit vrevden bere,diser sîn ein mere von wir herre / barmherzecheit vröude bere,Bodm72,,,,,,
,Das Almosen,Hie hebet sich an dez warme / almvsen von dem armen man,hie heben sich an der warm / almvsen von der armen man,Bodm72,,,,,,
,Der hohle Baum,Ditz ist von dem alweren man / den sin wip betrovg ysan,diser sîn von der alweren man / der sin wîp betriegen iesâ,Bodm72,,,,,,
,Der Hasenbraten,Ditz ist ein mere von zwen hasen / daz mvgt ir horen ane rasen,diser sîn ein mere von zwei hase / daz mügen sie hoeren ane rase,Bodm72,,,,,,
,Wachtelmäre,Ditz ist ein mere von zwelf wachteln gar seltsene,diser sîn ein mere von zwelf wachteln gar seltsæne,Bodm72,,,,,,
,Der Sperber,Ditz buoch heizet der sperwer / des sit fvrwar gewer,diser buoch heizzen der sperwære / der sit vürwâr gewer,Bodm72,,,,,,
,Der arme Heinrich,Ditz ist ein mere rich / von dem armen Heinrich,diser sîn ein mere rich / von der armen Heinrich,Bodm72,,,,,,
367-145,Der Gevatterin Rat,Hie riet ein gevater der andern wie sie ein bloch begrup zehant,hie riet ein gevatere der andern wie sie ein bloch begraben zehant,Bodm72,,,,,,
367-142,Das erzwingene Gelübde,Hie bat ein man sin wip daz sie nach sinem tode ane man beliben solde,hie bat ein man sin wîp daz sie nach er tôt ane man belîben solde,Bodm72,,,,,,
367-163,Ehescheidungsgespräch,Ditz ist von man vnd von wibe / die wolden bi ein ander niht beliben,diser sîn von man und von wîp / die wellen bî ein ander niht belîben,Bodm72,,,,,,
367-26,Die drei Wünsche,Ditz ist ein mere von drin wuensch / gewalten zv einer lere,diser sîn ein mere von darinne wunsch / gewalten zuo ein lere,Bodm72,,,,,,
367-27,Der begrabene Ehemann,Ditz mere ist wie ein man / sin wip begrvb lebendic ysan,diser mere sîn wie ein man / sin wîp begraben lebendec iesâ,Bodm72,,,,,,
367-28,Das heiße Eisen,Ditz ist ein mere gvt genvc / wie ein wip daz heiz ysen trvk,diser sîn ein mere guot genuoc / wie ein wîp daz heiz îsen tragen,Bodm72,,,,,,
367-162,Der einfältige Ritter,,,Bodm72,,,TRUE,,,
367-29,Der Käfer im Rosenhaus,Ditz ist von einem goltvarben kefer / der sich gelichet einer vrowen,diser sîn von ein goltvarben käfer / der sich gelichet ein vrouwe,Bodm72,,,,,,
367-68,Der Gärtner,Ditz ist von einem gartener / ein vil schonez mer,diser sîn von ein gartenære / ein vil schoene mer,Bodm72,,,,,,
367-30,Die Königin vom Mohrenland,Ditz ist ein mere von einem kvnige / vnd von einer kvnegin vz moren lant,diser sîn ein mere von ein künic / und von ein küniginne ûz moren lant,Bodm72,,,,,,
367-31,Das Wildpret,Ditz ist ein mere von gerete / vnd ist von dem wiltprete,diser sîn ein mere von grât / und sîn von der wiltbrât,Bodm72,,,,,,
367-32,Der Kater als Freier,Ditz ist ein gvt mere / von einem gachern gewere,diser sîn ein guot mere / von ein gachern gewern,Bodm72,,,,,,
367-33,Die Katze,Ditz ist von den katzen / die bizen vnde kratzen,diser sîn von der katze / die bîzen und kratzen,Bodm72,,,,,,
367-2,Das Katzenauge,Hie gewan ein kvnic ein ovgen / einer katzen ane lovgen,hie gewinnen ein künic ein ouge / ein katze ane lougen,Bodm72,,,,,,
367-34,Der unfruchtbare Baum,Ditz ist ein kvrtzes mere / von einem lvgenere,diser sîn ein kvrtzes mere / von ein lügenære,Bodm72,,,,,,
367-35,Der junge Baum,Hie hebet sich ein mere an / von einem Jvngen man,hie heben sich ein mere an / von ein jvngen man,Bodm72,,,,,,
367-36,Die Gäuhühner,Ditz ist ein schonez mere / von den Levhvnern,diser sîn ein schoene mere / von der levhvnern,Bodm72,,,,,,
367-96,Der Tor und das Feuer,Ditz ist von einem toren ein mere / der redet seltzsene,diser sîn von ein toren ein mere / der reden seltzsene,Bodm72,,,,,,
367-130,Die ungehorsamen Juden,Ditz ist ein hvbsch mere / von den jvden wandelbere,diser sîn ein hövesch mere / von der jvden wandelbære,Bodm72,,,,,,
367-37,Der Juden Abgott,Ditz mere ist von einem apgot / vnd ist von des tevfels gebot,diser mere sîn von ein abgot / und sîn von der tevfels gebot,Bodm72,,,,,,
367-159,Der Turse,Ditz ist ein mere gvt ze lesen / wie ein Rise zwelf man gezze,diser sîn ein mere guot zuo lesen / wie ein rise zwelf man gezze,Bodm72,,,,,,
367-88,Die reiche Stadt,Ditz ist ein hvcschez mere / von einem nidere,diser sîn ein hvcschez mere / von ein nidere,Bodm72,,,,,,
367-38,Der arme und der reiche König,Ditz ist von zwein kvnigen her / ein vil seltzsene ler,diser sîn von zwei künic her / ein vil seltzsene ler,Bodm72,,,,,,
367-92,Der wunderbare Stein,Ditz ist von einem Ratgebere / ein vil hvbschez mere,diser sîn von ein râtgebe / ein vil hvbschez mere,Bodm72,,,,,,
367-39,Der junge Ratgeber,Ditz ist von einem Jvngen ratgeben / ein vil gvt mere ze geben,diser sîn von ein jvngen râtgeben / ein vil guot mere zuo geben,Bodm72,,,,,,
367-3,Frauenehre,Ditz ist von der vrowen ere / die die werlt zieret sere,diser sîn von der vrouwe ere / die die werlt zieren sêre,Bodm72,,,,,,Part 1
367-3,Frauenehre,Ditz ist von einem ackermanne / ein schonez mere danne,diser sîn von ein ackerman / ein schoene mere danne,Bodm72,,,,,,Part 2
367-45,Die Äffin und die Nuss,Ditz ist von einer effeinne / vnd von ir seltzsenen sinnen,diser sîn von ein efeinne / und von sie seltzsenen sinnen,Bodm72,,,,,,
367-47,Der Wolf und das Weib,Ditz ist von dem wolfe ein mere / daz leret vns der strickere,diser sîn von der wolfe ein mere / daz lêren wir der Strickære,Bodm72,,,,,TRUE,
367-46,Von Eseln Gäuchen und Affen,,,Bodm72,,,TRUE,,,
367-69,Frauenleben und Pfaffenleben,,,Bodm72,,,TRUE,,,
